id,PHt,Hs_obs,Hs_exp,IR,HL,pop,sex,length,date,oto_age,natal_region,stocked,lat,long
GOP001,0.222337125,0.960418765,0.987792322,-0.007005839,0.650510289,BROKEN,NA,NA,NA,NA,NA,,-36.45236,145.79604
GOP002,0.20137931,0.868840332,0.89492771,0.092194097,0.684392983,BROKEN,NA,NA,NA,NA,NA,,-36.4557195,145.8087243
GOP003,0.324909747,1.375038435,1.405972168,-0.347347363,0.494329465,BROKEN,NA,NA,NA,NA,NA,,-36.46523791,145.9183549
GOP004,0.234963913,0.996879977,1.026393946,-0.036712685,0.636743774,BROKEN,NA,NA,NA,NA,NA,,-36.46523791,145.9183549
GOP006,0.222413793,0.958733437,0.98766475,0.015356505,0.658339339,BROKEN,NA,NA,NA,NA,NA,,-36.43259,145.67882
GOP007,0.231644261,0.998998994,1.028909838,-0.036471124,0.63874165,BROKEN,NA,NA,NA,NA,NA,,-36.43259,145.67882
GOP010,0.212288574,0.916468218,0.943731854,0.049381719,0.666429174,BROKEN,NA,NA,NA,NA,NA,,-36.42555,145.4308
GOP011,0.208146358,0.898920735,0.925418029,0.05675972,0.674711517,BROKEN,NA,NA,NA,NA,NA,,-36.43324,145.70416
GOP014,0.207787733,0.897043363,0.92336578,0.084133784,0.687873071,BROKEN,NA,NA,NA,NA,NA,,-36.43077333,145.6972375
GOP017,0.221866097,0.951344364,0.979741669,0.005061354,0.653500871,BROKEN,NA,NA,NA,NA,NA,,-36.42319,145.53151
GOP022,0.232477446,1.001461583,1.031042491,-0.032671146,0.638086948,CAMPASPE,NA,NA,NA,NA,NA,,-36.27481562,144.7028681
GOP025,0.231034483,0.996102206,1.025936084,-0.039126181,0.635767366,CAMPASPE,NA,NA,NA,NA,NA,,-36.14625817,144.7373858
GOP030,0.228245856,0.983384028,1.013164395,-0.002275688,0.657840075,CAMPASPE,NA,NA,NA,NA,NA,,-36.43463757,144.6602517
GOP032,0.225897255,0.970892327,1.000009187,0.0265386,0.659732664,CAMPASPE,NA,NA,NA,NA,NA,,-36.43463757,144.6602517
GOP033,0.228433402,0.984751926,1.01419952,0.000487215,0.661977473,CAMPASPE,NA,NA,NA,NA,NA,,-36.43463757,144.6602517
GOP034,0.216850829,0.935423522,0.963316367,0.031243083,0.664583013,CAMPASPE,NA,NA,NA,NA,NA,,-36.43463757,144.6602517
GOP035,0.222606291,0.961658799,0.990782642,0.01648907,0.674381641,CAMPASPE,NA,NA,NA,NA,NA,,-36.43463757,144.6602517
GOP036,0.238867794,1.031412234,1.061504943,-0.06427632,0.635025281,CAMPASPE,NA,NA,NA,NA,NA,,-36.81269909,144.5124483
GOP038,0.240619621,1.037547596,1.068571115,-0.052179775,0.634938656,CAMPASPE,NA,NA,NA,NA,NA,,-36.699744,144.5256643
GOP039,0.222760291,0.962678777,0.990437473,-0.01009422,0.647186252,CAMPASPE,NA,NA,NA,NA,NA,,-36.699744,144.5256643
GOP042,0.2311402,0.996037149,1.025861933,-0.027882697,0.63855901,CAMPASPE,NA,NA,NA,NA,NA,,-36.56285,144.58766
GOP046,0.209181912,0.904151288,0.930974199,0.052256826,0.674215734,CAMPASPE,NA,NA,NA,NA,NA,,-36.41090657,144.6690037
GOP047,0.214384509,0.92643379,0.953765635,0.040182928,0.669057938,CAMPASPE,NA,NA,NA,NA,NA,,-36.41090657,144.6690037
GOP048,0.217904233,0.94484913,0.972341422,0.030568952,0.675326278,CAMPASPE,NA,NA,NA,NA,NA,,-36.41090657,144.6690037
GOP051,0.239572561,1.033751655,1.064529577,-0.061929578,0.631099053,CAMPASPE,NA,NA,NA,NA,NA,,-36.38043928,144.7088038
GOP054,0.22229893,0.959617335,0.988529655,0.000954816,0.648347074,CAMPASPE,NA,NA,NA,NA,NA,,-36.62577,144.55965
GOP060,0.231513476,0.99976636,1.029844918,-0.016957184,0.643150906,MULLAROO_LINDSAY,NA,NA,NA,NA,NA,,-34.12311,141.13879
GOP064,0.229434224,0.987990962,1.017291942,-0.008660816,0.649337578,MULLAROO_LINDSAY,NA,NA,NA,NA,NA,,-34.10594,141.22887
GOP065,0.222183709,0.95916063,0.987452224,0.000383141,0.657314333,MULLAROO_LINDSAY,NA,NA,NA,NA,NA,,-34.10594,141.22887
GOP076,0.23687193,1.012586704,1.042940492,-0.034509533,0.640721281,MULLAROO_LINDSAY,NA,NA,NA,NA,NA,,-34.09547,141.06583
GOP078,0.234345707,0.995548427,1.025956792,-0.031808063,0.634468438,MULLAROO_LINDSAY,NA,NA,NA,NA,NA,,-34.05876,141.02715
GOP080,0.232784431,0.999128548,1.029359619,-0.040735529,0.636102107,WIMMERA,NA,NA,NA,NA,NA,,-36.72191,142.33607
GOP083,0.214111922,0.893867921,0.922146076,0.061604576,0.676033326,WIMMERA,NA,NA,NA,NA,NA,,-36.69106,142.26722
GOP086,0.224887556,0.934183685,0.961631669,0.02971272,0.662649205,WIMMERA,NA,NA,NA,NA,NA,,-36.72805,142.17807
GOP090,0.238308458,0.985239824,1.012461251,-0.026189474,0.640212336,WIMMERA,NA,NA,NA,NA,NA,,-36.77859,142.06705
GOP094,0.220567376,0.951563981,0.979153665,0.02068273,0.654487647,WIMMERA,NA,NA,NA,NA,NA,,-36.70884,141.98087
GOP096,0.22292769,0.956083372,0.985312404,-0.004040501,0.645102668,WIMMERA,NA,NA,NA,NA,NA,,-36.4826,142.03405
GOP099,0.201764057,0.862005212,0.88876157,0.09913807,0.684875658,WIMMERA,NA,NA,NA,NA,NA,,-36.32538,141.98395
GOP102,0.218487395,0.938989767,0.96708205,0.00278757,0.655609566,WIMMERA,NA,NA,NA,NA,NA,,-36.13698,141.96768
GOP107,0.227973568,0.978141258,1.007420585,0.002342872,0.649831323,GOULBURN,NA,NA,NA,NA,NA,,-36.69945,145.18156
GOP110,0.234144543,1.000079418,1.030222863,-0.030802982,0.634586875,GOULBURN,NA,NA,NA,NA,NA,,-36.69945,145.18156
GOP114,0.230655313,0.989191505,1.019175604,-0.025388982,0.642977883,GOULBURN,NA,NA,NA,NA,NA,,-36.59471,145.23085
GOP115,0.223763118,0.953532179,0.982906541,0.00594235,0.646946444,GOULBURN,NA,NA,NA,NA,NA,,-36.59471,145.23085
GOP119,0.229347826,0.985902949,1.016611041,-0.022307086,0.64445308,GOULBURN,NA,NA,NA,NA,NA,,-36.29596,145.36639
GOP120,0.231689088,0.989896668,1.020769062,-0.037629217,0.637062742,GOULBURN,NA,NA,NA,NA,NA,,-36.20341,145.26793
GOP121,0.244027931,1.044676244,1.075547296,-0.060935721,0.632255474,GOULBURN,NA,NA,NA,NA,NA,,-36.20341,145.26793
GOP122,0.231025546,0.993163951,1.022266668,-0.024172102,0.643227533,GOULBURN,NA,NA,NA,NA,NA,,-36.20341,145.26793
GOP126,0.232308262,0.991824916,1.020767376,-0.018635423,0.64033202,GOULBURN,NA,NA,NA,NA,NA,,-36.15597,145.03521
GOP128,0.226049516,0.967608278,0.996884535,-0.005788029,0.645134245,GUNBOWER,NA,NA,NA,NA,NA,,-35.65354,144.14201
GOP129,0.22933034,0.98079603,1.010022081,-0.017338313,0.644268981,GUNBOWER,NA,NA,NA,NA,NA,,-35.65354,144.14201
GOP141,0.236036036,1.01710837,1.047527466,-0.032911096,0.641503725,GUNBOWER,NA,NA,NA,NA,NA,,-35.65627,144.12624
