id,pop,sex.gonads,sex.x,oto_age,length,weight,sex.y,age_f,spawned,date_capture,capture_site_name,natal_region,hatchery,capt_region,stocked,Fin.clip.tube.label,Scientific.Name,Field.Season,INPUT..BY,INPUT.DATE,SITE.NUMBER,System,Site.Name,Site.Code,lat,long,Date.Start..DD.MM.YYYY.,Collector_1,Collector.2,TOTAL.LENGTH..mm.....for.each.individual.animal..,WEIGHT..gms.....for.each.individual.animal.,Age,Sex,S.AV.BQtage,Gonad.wt.g.,Disease.Parasites.Deformity,Sacraficed,Recapture,Genetics.No.,DNA.ref..Keller,Tag.Type_1,Tag.Colour_1,Tag.Number_1,Tag.Date_1,Tag.Lost_1,Tag.Type_2,Tag.Colour_2,Tag.Number_2,Tag.Date_2,Tag.Lost_2,Tag.Type_3,Tag.Colour_3,Tag.Number_3,Tag.Date_3,Tag.Lost_3,General.Comments.relating.to.fauna,Max.Depth..m...of.sample.area.,Ave....Depth..m...of.sample.area.,Depth.recorded.at..m.,EC.uS.cm..at.water.temp..,EC.uS.cm..at25.oC.,Temp..oC,DO..mg.L.,DO....,pH,Turbidity..NTU.,Secchi.Depth..m.,Hardness..as.CaCO3.,Oto.Vial,Comments.on.sampling.site,Plate.No..2018,Row,Column,SARDI.AGE,Fin.clip.tube.label.2,K_fas_comment,id.1,Fin.clip.tube.label.1,Genetics.No..1,Tag.Number_1.1,fas_Fin.clip.tube.label,fas_System,fas_Date.Start..DD.MM.YYYY.,fas_Sex,fas_Genetics.No.,fas_Tag.Number_1,fas_Oto.Vial,fas_FAS.Species,FAS_Batch,FAS_Specimen,fas_Combined.FAS.Code,fas_Original.client.reference,DOC,Otolith.wgt,Comments.1,Comments.2,Original.client.referance,Comments,Comments2,Supplier,Sample_Type,Reader,Reading,Readability,Age.1,Edge_Type,Comments.3,Primordium,ZL_1,ZL_2,ZL_3,ZL_4,ZL_5,ZL_6,ZL_7,ZL_8,ZL_9,ZL_10,ZL_11,ZL_12,ZL_13,ZL_14,ZL_15,ZL_16,ZL_17,ZL_18,ZL_19,ZL_20,ZL_21,ZL_22,ZL_23,ZL_24,ZL_25,ZL_26,ZL_27,ZL_28,ZL_29,ZL_30,Edge,fish_id,sp_id,site_id,microchem_id,tag_id,length.1,weight.1,sex.y.1,age_f.1,spawned.1,date_capture.1,capture_site_name.1,natal_region.1,hatchery.1,capt_region.1
GOP017,BROKEN ,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,BR_17_100,Macquaria ambigua,2016-2017,Joanne Kearns,3/5/2017,BR0328,BROKEN ,Violet Town Boundary Rd Reserve,,-36.42319,145.53151,10/3/2017,Graeme Hackett,David Dawson,358,771,,,,NA,NA,,NA,BR_17_100,,,,,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,1.6,0.8,NA,154,NA,22.4,NA,NA,NA,NA,0.49,NA,,"Good flow (mainly shallow), some good woody habitat",NA,,NA,NA,BR_17_100,,GOP017,BR_17_100,BR_17_100,,,,,,,,,NA,,NA,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOP001,BROKEN,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,BR_17_61,Macquaria ambigua,2016-2017,Graeme Hackett,30/3/2017,BR0330,BROKEN,Ballantyne Rd Extra 1,,-36.45236,145.79604,8/3/2017,Graeme Hackett,David Dawson,320,537,3W,,,NA,NA,Y,NA,BR_17_61,,T-Bar,,137549,8/3/2017,NA,,NA,NA,NA,NA,,NA,,NA,NA,,2,1.2,NA,126.7,NA,22.7,NA,NA,NA,NA,0.56,NA,,Good habitat(woody) Good flow,NA,,NA,NA,BR_17_61,,GOP001,BR_17_61,BR_17_61,137549,,,,,,,,NA,,NA,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOP627,GOULBURN,,,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,GP 2018 # GP 892,Macquaria ambigua,2017-2018,,,,Goulburn River,Fished a 1300 metre section at Pyke Road.,Pyke Road,-36.42518,145.36416,1/5/2018,Jason Lieschke; John Mahoney,,322,480,,,,NA,NA,,NA,GP 2018 # GP 892,,,,135158,,NA,,NA,NA,NA,NA,,NA,,NA,NA,Kept for Otoliths,3.7,1.8,0.2,NA,70,14.2,9.9,96.7,7.38,9.8,0.685,NA,,,4,C,3,NA,GP 2018 # GP 892,,GOP627,GP 2018 # GP 892,GP 2018 # GP 892,135158,GP 2018 # GP 892,Goulburn River,1/5/2018,,GP 2018 # GP 892,135158,135158,15,94,9,15_94_9,G18GP37,1/5/2018,0.383,,sample not in client supplied spreadsheet,G18GP37,Tag135158,,delwp,Sectioned otolith,K.Krusic-Golub,1,2,8,WT,,0,0.624,1.013,1.192,1.352,1.47,1.585,1.729,1.817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOP634,GOULBURN,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,GP 2018 # GP 898,Macquaria ambigua,2017-2018,,,,Goulburn River,Fished from 260 metres downstream bridge at Yambuna to 1180 metres upstream.,Yambuna,-36.13094,145.00287,2/5/2018,Jason Lieschke; John Mahoney,,355,808,,,,NA,NA,,NA,GP 2018 # GP 898,,,,135163,,NA,,NA,NA,NA,NA,,NA,,NA,NA,Kept for Otoliths,8.4,2.5,0.2,NA,82,15,10.14,101.3,7.58,3.7,0.64,NA,,,4,B,4,NA,GP 2018 # GP 898,,GOP634,GP 2018 # GP 898,GP 2018 # GP 898,135163,GP 2018 # GP 898,Goulburn River,2/5/2018,,GP 2018 # GP 898,135163,135163,NA,,NA,,,,,,No sample provided,,,,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOP622,GOULBURN,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,GP 2018 # GP 885,Macquaria ambigua,2017-2018,,,,Goulburn River,"Fished from 650 metres downstream launch to 650 metres upstream at river road, Murchison.",River Road,-36.59471,145.23085,30/4/2018,Jason Lieschke; John Mahoney,,330,510,,,,NA,NA,,NA,GP 2018 # GP 885,,,,,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,4.1,1.6,0.2,NA,73,15.1,10.18,101.9,7.47,4.1,0.76,NA,,,4,F,2,NA,GP 2018 # GP 885,,GOP622,GP 2018 # GP 885,GP 2018 # GP 885,,,,,,,,,NA,,NA,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOP002,BROKEN,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,BR_17_54,Macquaria ambigua,2016-2017,Graeme Hackett,30/3/2017,BR0305,BROKEN,Ballantyne Rd,,-36.4557195,145.8087243,8/3/2017,Graeme Hackett,David Dawson,403,1140,,,,NA,NA,,NA,BR_17_54,,T-Bar,,137697,8/3/2017,NA,,NA,NA,NA,NA,,NA,,NA,NA,,2.9,1.1,NA,126.7,NA,22.7,NA,NA,NA,NA,0.56,NA,,"Patchy timber, shallow sandy wood sectons, 1 good deep hole",NA,,NA,NA,BR_17_54,,GOP002,BR_17_54,BR_17_54,137697,,,,,,,,NA,,NA,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOP352,BROKEN,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,GP_381,Macquaria ambigua,2017-2018,Kim Loeun,31/5/2018,BR0304,BROKEN,Broken River @ breakout point (near Quinn Road),,-36.46523791,145.9183549,7/3/2018,Graeme Hackett,Kim Loeun,410,1112,,,,NA,NA,,NA,GP_381,,T-Bar,,138555,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,2.6,0.9,NA,95,NA,14.5,7.41,NA,6.13,2.4,0.44,NA,,not sure about turbidity,1,B,4,NA,GP_381,,GOP352,GP_381,GP_381,138555,,,,,,,,NA,,NA,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOP014,BROKEN,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,BR_17_73,Macquaria ambigua,2016-2017,Joanne Kearns,3/5/2017,BR0306,BROKEN,Gowangardie Weir pool,,-36.43077333,145.6972375,9/3/2017,Graeme Hackett,David Dawson,481,2050,7P,,,NA,NA,Y,NA,BR_17_73,,T-Bar,,137543,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,3.6,1.4,NA,139.1,NA,22.8,NA,NA,NA,NA,0.42,NA,,"No flow, deep holes, good woodlitter didn't produce much",NA,,NA,NA,BR_17_73,,GOP014,BR_17_73,BR_17_73,137543,,,,,,,,NA,,NA,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOP350,BROKEN,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,GP_380,Macquaria ambigua,2017-2018,Kim Loeun,31/5/2018,BR0304,BROKEN,Broken River @ breakout point (near Quinn Road),,-36.46523791,145.9183549,7/3/2018,Graeme Hackett,Kim Loeun,522,1200,,,,NA,NA,,NA,GP_380,,Dart,,143532,,NA,Pit,NA,NA,NA,NA,,NA,,NA,NA,,2.6,0.9,NA,95,NA,14.5,7.41,NA,6.13,2.4,0.44,NA,,not sure about turbidity,1,H,3,NA,GP_380,,GOP350,GP_380,GP_380,143532,,,,,,,,NA,,NA,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOP346,LODDON_PYRAMID,,F,9,506,2802,NA,9,2008,18/4/2018,loddon - reach 5,hatchery,Murrumbidgee,loddon,YES,GP_418,Macquaria ambigua,2017-2018,Kim Loeun,30/5/2018,LO0513,LODDON,390 metres downstream O'Donagheus Road to 1110 metres upstream,,-35.62794,143.91714,,,,NA,2802,,F,,NA,NA,,NA,GP_418,,,,138953,,NA,,NA,NA,NA,NA,,NA,,NA,NA,Female and Kept,1.7,0.7,NA,129,NA,16.8,8.23,88.1,7.41,61,NA,NA,,,1,D,3,NA,GP_418,,GOP346,GP_418,GP_418,138953,GP_418,LODDON,18/4/2018,F,GP_418,138953,138953,15,93,2,15_93_2,138953,18/4/2018,0.616,,GP_418,Tag138953,,,delwp,Sectioned otolith,K.Krusic-Golub,1,2,9,WT,,0,0.451,0.881,1.263,1.538,1.728,1.89,2.038,2.126,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.444,71-LO513,MAC AMB,71,gp138953,138953,506,2802,NA,9,2008,18/4/2018,loddon - reach 5,hatchery,Murrumbidgee,loddon
