offspring1_id,offspring2_id
GOP001,GOP007
GOP001,GOP054
GOP001,GOP357
GOP001,GOP384
GOP001,GOP526
GOP001,GOP530
GOP001,GOP633
GOP002,GOP099
GOP002,GOP346
GOP002,GOP347
GOP002,GOP444
GOP002,GOP458
GOP002,GOP505
GOP003,GOP353
GOP003,GOP405
GOP004,GOP328
GOP004,GOP406
GOP004,GOP430
GOP006,GOP083
GOP006,GOP094
GOP006,GOP620
GOP007,GOP017
GOP007,GOP356
GOP007,GOP530
GOP007,GOP622
GOP007,GOP627
GOP007,GOP634
GOP010,GOP635
GOP011,GOP039
GOP014,GOP099
GOP014,GOP346
GOP014,GOP347
GOP014,GOP444
GOP014,GOP458
GOP014,GOP459
GOP014,GOP505
GOP017,GOP054
GOP017,GOP357
GOP017,GOP384
GOP017,GOP526
GOP017,GOP530
GOP017,GOP633
GOP022,GOP613
GOP030,GOP032
GOP032,GOP035
GOP032,GOP367
GOP033,GOP034
GOP033,GOP047
GOP033,GOP389
GOP034,GOP047
GOP034,GOP048
GOP034,GOP368
GOP036,GOP618
GOP038,GOP173
GOP038,GOP354
GOP038,GOP383
GOP038,GOP454
GOP038,GOP469
GOP042,GOP328
GOP042,GOP406
GOP042,GOP430
GOP042,GOP628
GOP046,GOP345
GOP046,GOP396
GOP047,GOP048
GOP047,GOP368
GOP047,GOP389
GOP048,GOP389
GOP054,GOP356
GOP054,GOP530
GOP054,GOP622
GOP054,GOP627
GOP054,GOP634
GOP080,GOP396
GOP080,GOP608
GOP080,GOP624
GOP083,GOP617
GOP083,GOP620
GOP086,GOP520
GOP090,GOP415
GOP090,GOP799
GOP094,GOP617
GOP094,GOP620
GOP096,GOP382
GOP096,GOP433
GOP096,GOP442
GOP096,GOP449
GOP096,GOP466
GOP099,GOP298
GOP099,GOP350
GOP099,GOP352
GOP099,GOP444
GOP099,GOP458
GOP099,GOP459
GOP102,GOP520
GOP107,GOP121
GOP107,GOP141
GOP107,GOP358
GOP107,GOP432
GOP107,GOP436
GOP107,GOP448
GOP107,GOP462
GOP107,GOP625
GOP107,GOP640
GOP110,GOP632
GOP114,GOP335
GOP114,GOP400
GOP114,GOP530
GOP114,GOP619
GOP115,GOP406
GOP115,GOP414
GOP115,GOP418
GOP115,GOP425
GOP115,GOP430
GOP119,GOP607
GOP119,GOP614
GOP121,GOP625
GOP126,GOP349
GOP141,GOP448
GOP141,GOP640
GOP150,GOP525
GOP151,GOP262
GOP155,GOP646
GOP155,GOP711
GOP156,GOP278
GOP156,GOP792
GOP173,GOP354
GOP173,GOP363
GOP173,GOP383
GOP181,GOP787
GOP183,GOP491
GOP202,GOP387
GOP202,GOP504
GOP211,GOP261
GOP211,GOP277
GOP211,GOP340
GOP211,GOP604
GOP211,GOP791
GOP230,GOP351
GOP236,GOP446
GOP236,GOP532
GOP237,GOP626
GOP251,GOP539
GOP261,GOP277
GOP261,GOP604
