id,q1,q2,q3,q4,q5,q6,q7,PHt.x,pop.x,sex,length.x,date,trip_start_date,field_season,breeding_year_sampled,oto_age.x,birth_breeding_season,age_in_2017_season,natal_region_microchem,stocked_microchem,lat.x,long.x,sibling_group.x,inferred_stocked.x,inferred_stocked_conservative,pop.y,sex.gonads,sex.x,oto_age.y,length.y,weight,sex.y,age_f,spawned,date_capture,capture_site_name,natal_region,hatchery,capt_region,stocked,Fin.clip.tube.label,Scientific.Name,Field.Season,INPUT..BY,INPUT.DATE,SITE.NUMBER,System,Site.Name,Site.Code,lat.y,long.y,Date.Start..DD.MM.YYYY.,Collector_1,Collector.2,TOTAL.LENGTH..mm.....for.each.individual.animal..,WEIGHT..gms.....for.each.individual.animal.,Age,Sex,S.AV.BQtage,Gonad.wt.g.,Disease.Parasites.Deformity,Sacraficed,Recapture,Genetics.No.,DNA.ref..Keller,Tag.Type_1,Tag.Colour_1,Tag.Number_1,Tag.Date_1,Tag.Lost_1,Tag.Type_2,Tag.Colour_2,Tag.Number_2,Tag.Date_2,Tag.Lost_2,Tag.Type_3,Tag.Colour_3,Tag.Number_3,Tag.Date_3,Tag.Lost_3,General.Comments.relating.to.fauna,Max.Depth..m...of.sample.area.,Ave....Depth..m...of.sample.area.,Depth.recorded.at..m.,EC.uS.cm..at.water.temp..,EC.uS.cm..at25.oC.,Temp..oC,DO..mg.L.,DO....,pH,Turbidity..NTU.,Secchi.Depth..m.,Hardness..as.CaCO3.,Oto.Vial,Comments.on.sampling.site,Plate.No..2018,Row,Column,SARDI.AGE,Fin.clip.tube.label.2,K_fas_comment,id.1,Fin.clip.tube.label.1,Genetics.No..1,Tag.Number_1.1,fas_Fin.clip.tube.label,fas_System,fas_Date.Start..DD.MM.YYYY.,fas_Sex,fas_Genetics.No.,fas_Tag.Number_1,fas_Oto.Vial,fas_FAS.Species,FAS_Batch,FAS_Specimen,fas_Combined.FAS.Code,fas_Original.client.reference,DOC,Otolith.wgt,Comments.1,Comments.2,Original.client.referance,Comments,Comments2,Supplier,Sample_Type,Reader,Reading,Readability,Age.1,Edge_Type,Comments.3,Primordium,ZL_1,ZL_2,ZL_3,ZL_4,ZL_5,ZL_6,ZL_7,ZL_8,ZL_9,ZL_10,ZL_11,ZL_12,ZL_13,ZL_14,ZL_15,ZL_16,ZL_17,ZL_18,ZL_19,ZL_20,ZL_21,ZL_22,ZL_23,ZL_24,ZL_25,ZL_26,ZL_27,ZL_28,ZL_29,ZL_30,Edge,fish_id,sp_id,site_id,microchem_id,tag_id,length.1,weight.1,sex.y.1,age_f.1,spawned.1,date_capture.1,capture_site_name.1,natal_region.1,hatchery.1,capt_region.1,sibling_group.y,natal_region.2,stocked_oto,inferred_stocked.y,inferred_stocked_conservative,PHt.y,Hs_obs,Hs_exp,IR,HL
GOP627,0,0.4014,0.5986,0,0,0,0,0.223114525,GOULBURN,NA,NA,NA,1/5/2018,2017-2018,2017,8,2009,8,NA,,-36.42518,145.36416,1,UNKNOWN,UNKNOWN,GOULBURN,,,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,GP 2018 # GP 892,Macquaria ambigua,2017-2018,,,,Goulburn River,Fished a 1300 metre section at Pyke Road.,Pyke Road,-36.42518,145.36416,1/5/2018,Jason Lieschke; John Mahoney,,322,480,,,,NA,NA,,NA,GP 2018 # GP 892,,,,135158,,NA,,NA,NA,NA,NA,,NA,,NA,NA,Kept for Otoliths,3.7,1.8,0.2,NA,70,14.2,9.9,96.7,7.38,9.8,0.685,NA,,,4,C,3,NA,GP 2018 # GP 892,,GOP627,GP 2018 # GP 892,GP 2018 # GP 892,135158,GP 2018 # GP 892,Goulburn River,1/5/2018,,GP 2018 # GP 892,135158,135158,15,94,9,15_94_9,G18GP37,1/5/2018,0.383,,sample not in client supplied spreadsheet,G18GP37,Tag135158,,delwp,Sectioned otolith,K.Krusic-Golub,1,2,8,WT,,0,0.624,1.013,1.192,1.352,1.47,1.585,1.729,1.817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,,UNKNOWN,UNKNOWN,0.223114525,0.963625851,0.991995787,-0.016576669,0.644353169
GOP622,0,0.4635,0.5365,0,0,0,0,0.23,GOULBURN,NA,NA,NA,30/4/2018,2017-2018,2017,NA,NA,NA,NA,,-36.59471,145.23085,1,UNKNOWN,UNKNOWN,GOULBURN,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,GP 2018 # GP 885,Macquaria ambigua,2017-2018,,,,Goulburn River,"Fished from 650 metres downstream launch to 650 metres upstream at river road, Murchison.",River Road,-36.59471,145.23085,30/4/2018,Jason Lieschke; John Mahoney,,330,510,,,,NA,NA,,NA,GP 2018 # GP 885,,,,,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,4.1,1.6,0.2,NA,73,15.1,10.18,101.9,7.47,4.1,0.76,NA,,,4,F,2,NA,GP 2018 # GP 885,,GOP622,GP 2018 # GP 885,GP 2018 # GP 885,,,,,,,,,NA,,NA,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,,UNKNOWN,UNKNOWN,0.23,0.993111693,1.022671374,-0.040072332,0.635307621
GOP634,0,0.4448,0.5552,0,0,0,0,0.234906315,GOULBURN,NA,NA,NA,2/5/2018,2017-2018,2017,NA,NA,NA,NA,,-36.13094,145.00287,1,UNKNOWN,UNKNOWN,GOULBURN,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,GP 2018 # GP 898,Macquaria ambigua,2017-2018,,,,Goulburn River,Fished from 260 metres downstream bridge at Yambuna to 1180 metres upstream.,Yambuna,-36.13094,145.00287,2/5/2018,Jason Lieschke; John Mahoney,,355,808,,,,NA,NA,,NA,GP 2018 # GP 898,,,,135163,,NA,,NA,NA,NA,NA,,NA,,NA,NA,Kept for Otoliths,8.4,2.5,0.2,NA,82,15,10.14,101.3,7.58,3.7,0.64,NA,,,4,B,4,NA,GP 2018 # GP 898,,GOP634,GP 2018 # GP 898,GP 2018 # GP 898,135163,GP 2018 # GP 898,Goulburn River,2/5/2018,,GP 2018 # GP 898,135163,135163,NA,,NA,,,,,,No sample provided,,,,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,,UNKNOWN,UNKNOWN,0.234906315,1.014024559,1.043874869,-0.065327919,0.620996559
GOP017,0,0.4338,0.5662,0,0,0,0,0.221866097,BROKEN,NA,NA,NA,10/3/2017,2016-2017,2016,NA,NA,NA,NA,,-36.42319,145.53151,1,UNKNOWN,UNKNOWN,BROKEN ,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,BR_17_100,Macquaria ambigua,2016-2017,Joanne Kearns,3/5/2017,BR0328,BROKEN ,Violet Town Boundary Rd Reserve,,-36.42319,145.53151,10/3/2017,Graeme Hackett,David Dawson,358,771,,,,NA,NA,,NA,BR_17_100,,,,,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,1.6,0.8,NA,154,NA,22.4,NA,NA,NA,NA,0.49,NA,,"Good flow (mainly shallow), some good woody habitat",NA,,NA,NA,BR_17_100,,GOP017,BR_17_100,BR_17_100,,,,,,,,,NA,,NA,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,,UNKNOWN,UNKNOWN,0.221866097,0.951344364,0.979741669,0.005061354,0.653500871
GOP001,0,0.4972,0.5028,0,0,0,0,0.222337125,BROKEN,NA,NA,NA,8/3/2017,2016-2017,2016,NA,NA,NA,NA,,-36.45236,145.79604,1,UNKNOWN,UNKNOWN,BROKEN,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,BR_17_61,Macquaria ambigua,2016-2017,Graeme Hackett,30/3/2017,BR0330,BROKEN,Ballantyne Rd Extra 1,,-36.45236,145.79604,8/3/2017,Graeme Hackett,David Dawson,320,537,3W,,,NA,NA,Y,NA,BR_17_61,,T-Bar,,137549,8/3/2017,NA,,NA,NA,NA,NA,,NA,,NA,NA,,2,1.2,NA,126.7,NA,22.7,NA,NA,NA,NA,0.56,NA,,Good habitat(woody) Good flow,NA,,NA,NA,BR_17_61,,GOP001,BR_17_61,BR_17_61,137549,,,,,,,,NA,,NA,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,,UNKNOWN,UNKNOWN,0.222337125,0.960418765,0.987792322,-0.007005839,0.650510289
GOP298,0,1,0,0,0,0,0,0.21591348,LODDON_PYRAMID,NA,NA,NA,2/5/2017,2016-2017,2016,NA,NA,NA,NA,,-35.77825,144.07129,2,UNKNOWN,UNKNOWN,LODDON_PYRAMID,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,GP 2017 #GP204,Macquaria ambigua,2016-2017,,,,Pyramid,S5,,-35.77825,144.07129,2/5/2017,Graeme Hackett,Adrian Kitchingman,454,1568,,,,NA,NA,,NA,gp204,,dart,yellow,136907,,NA,pit,NA,9.82E+14,NA,NA,,NA,,NA,NA,,2.8,2.2,NA,87,NA,15,9.16,NA,5.66,50,NA,NA,,,NA,,NA,NA,GP 2017 #GP204,,GOP298,GP 2017 #GP204,gp204,136907,,,,,,,,NA,,NA,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,,UNKNOWN,UNKNOWN,0.21591348,0.921338934,0.948921896,0.050116562,0.673275949
GOP002,0,1,0,0,0,0,0,0.20137931,BROKEN,NA,NA,NA,8/3/2017,2016-2017,2016,NA,NA,NA,NA,,-36.4557195,145.8087243,2,UNKNOWN,UNKNOWN,BROKEN,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,BR_17_54,Macquaria ambigua,2016-2017,Graeme Hackett,30/3/2017,BR0305,BROKEN,Ballantyne Rd,,-36.4557195,145.8087243,8/3/2017,Graeme Hackett,David Dawson,403,1140,,,,NA,NA,,NA,BR_17_54,,T-Bar,,137697,8/3/2017,NA,,NA,NA,NA,NA,,NA,,NA,NA,,2.9,1.1,NA,126.7,NA,22.7,NA,NA,NA,NA,0.56,NA,,"Patchy timber, shallow sandy wood sectons, 1 good deep hole",NA,,NA,NA,BR_17_54,,GOP002,BR_17_54,BR_17_54,137697,,,,,,,,NA,,NA,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,,UNKNOWN,UNKNOWN,0.20137931,0.868840332,0.89492771,0.092194097,0.684392983
GOP014,0,1,0,0,0,0,0,0.207787733,BROKEN,NA,NA,NA,9/3/2017,2016-2017,2016,NA,NA,NA,NA,,-36.43077333,145.6972375,2,UNKNOWN,UNKNOWN,BROKEN,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,BR_17_73,Macquaria ambigua,2016-2017,Joanne Kearns,3/5/2017,BR0306,BROKEN,Gowangardie Weir pool,,-36.43077333,145.6972375,9/3/2017,Graeme Hackett,David Dawson,481,2050,7P,,,NA,NA,Y,NA,BR_17_73,,T-Bar,,137543,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,3.6,1.4,NA,139.1,NA,22.8,NA,NA,NA,NA,0.42,NA,,"No flow, deep holes, good woodlitter didn't produce much",NA,,NA,NA,BR_17_73,,GOP014,BR_17_73,BR_17_73,137543,,,,,,,,NA,,NA,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,,UNKNOWN,UNKNOWN,0.207787733,0.897043363,0.92336578,0.084133784,0.687873071
GOP350,0,1,0,0,0,0,0,0.211838006,BROKEN,NA,NA,NA,7/3/2018,2017-2018,2017,NA,NA,NA,NA,,-36.46523791,145.9183549,2,UNKNOWN,UNKNOWN,BROKEN,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,GP_380,Macquaria ambigua,2017-2018,Kim Loeun,31/5/2018,BR0304,BROKEN,Broken River @ breakout point (near Quinn Road),,-36.46523791,145.9183549,7/3/2018,Graeme Hackett,Kim Loeun,522,1200,,,,NA,NA,,NA,GP_380,,Dart,,143532,,NA,Pit,NA,NA,NA,NA,,NA,,NA,NA,,2.6,0.9,NA,95,NA,14.5,7.41,NA,6.13,2.4,0.44,NA,,not sure about turbidity,1,H,3,NA,GP_380,,GOP350,GP_380,GP_380,143532,,,,,,,,NA,,NA,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,,UNKNOWN,UNKNOWN,0.211838006,0.914177919,0.941002757,0.057671443,0.673565199
GOP352,0,1,0,0,0,0,0,0.213940649,BROKEN,NA,NA,NA,7/3/2018,2017-2018,2017,NA,NA,NA,NA,,-36.46523791,145.9183549,2,UNKNOWN,UNKNOWN,BROKEN,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,GP_381,Macquaria ambigua,2017-2018,Kim Loeun,31/5/2018,BR0304,BROKEN,Broken River @ breakout point (near Quinn Road),,-36.46523791,145.9183549,7/3/2018,Graeme Hackett,Kim Loeun,410,1112,,,,NA,NA,,NA,GP_381,,T-Bar,,138555,,NA,,NA,NA,NA,NA,,NA,,NA,NA,,2.6,0.9,NA,95,NA,14.5,7.41,NA,6.13,2.4,0.44,NA,,not sure about turbidity,1,B,4,NA,GP_381,,GOP352,GP_381,GP_381,138555,,,,,,,,NA,,NA,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,,UNKNOWN,UNKNOWN,0.213940649,0.922226341,0.949974133,0.049292309,0.664618056
