id,structure_order,q1,q2,q3,q4,q5,q6,q7,PHt,Hs_obs,Hs_exp,IR,HL,pop,sex,length,date,oto_age,natal_region,stocked,lat,long,sibling_group
GOP627,383,0,0.4014,0.5986,0,0,0,0,0.223114525,0.963625851,0.991995787,-0.016576669,0.644353169,GOULBURN,NA,NA,NA,8,NA,,-36.42518,145.36416,1
GOP384,145,0,0,1,0,0,0,0,0.220338983,0.951352026,0.979985947,0.012399924,0.655763241,CAMPASPE,NA,432,10/5/2018,4,hatchery,YES,-36.62228169,144.5614071,5
GOP633,388,0,0,1,0,0,0,0,0.220873786,0.952528276,0.981419187,0.008928788,0.653240243,GOULBURN,NA,NA,NA,4,NA,,-36.24183,145.28567,5
GOP366,130,0.9673,0.001,0.001,0.0025,0.0258,0.0012,0.0012,0.231863936,1.000194762,1.03088789,-0.038277825,0.63653892,CAMPASPE,NA,312,10/5/2018,2,hatchery,YES,-36.38043928,144.7088038,6
GOP367,131,0.0245,0.0075,0.001,0.9557,0.0023,0.0043,0.0047,0.225437928,0.958190095,0.987305359,0.015786043,0.657896128,CAMPASPE,NA,128,10/5/2018,1,hatchery,YES,-36.41090657,144.6690037,7
GOP368,132,0.0012,0.001,0.0012,0.9932,0.0008,0.0002,0.0025,0.218670541,0.939474267,0.9674699,0.022945266,0.665915623,CAMPASPE,NA,148,10/5/2018,1,hatchery,YES,-36.41090657,144.6690037,8
GOP389,150,0.054,0.001,0.0093,0.8852,0.0025,0.0122,0.0358,0.21500521,0.926602706,0.955141774,0.040111731,0.678148132,LODDON_PYRAMID,NA,203,18/4/2018,1,hatchery,YES,-35.73836281,143.9146652,9
GOP338,102,0.0551,0.6317,0.2608,0.004,0.0033,0.0102,0.0348,0.232149017,1.001114875,1.031141215,-0.026279618,0.639899699,LODDON_PYRAMID,NA,385,17/4/2018,7,hatchery,YES,-35.74783,143.99156,10
GOP369,133,0.053,0.8807,0.001,0.0077,0.042,0.0117,0.004,0.214134276,0.921956612,0.950063968,0.053019537,0.667190607,CAMPASPE,NA,282,8/5/2018,2,hatchery,YES,-36.41090657,144.6690037,12
GOP374,135,0.0047,0.9873,0.001,0.0015,0.0028,0.002,0.0007,0.222961148,0.95924276,0.988553282,0.0099998,0.654436292,CAMPASPE,NA,220,10/5/2018,2,hatchery,YES,-36.34962505,144.7046936,12
GOP380,141,0.6011,0,0.0916,0.0013,0.0027,0.3019,0.0015,0.218922652,0.945062275,0.973009809,0.020473611,0.662484,CAMPASPE,NA,420,9/5/2018,4,hatchery,YES,-36.56285,144.58766,13
GOP505,265,0,1,0,0,0,0,0,0.223643277,0.963816798,0.993237918,0.017692045,0.658795021,MURRAY-mid,F,522,14/5/2018,9,murrumbidgee,NO,-35.17179,143.38624,16
GOP346,110,0.0002,0.9987,0.001,0,0.0002,0,0,0.206004141,0.887871978,0.91493622,0.072447521,0.678422294,LODDON_PYRAMID,NA,506,18/4/2018,9,hatchery,YES,-35.62794,143.91714,16
GOP452,212,0.8207,0.001,0.1335,0.0012,0.0068,0.0328,0.004,0.237077877,1.022618805,1.053294341,-0.038128535,0.639513176,MACQUARIE,M,438,6/6/2018,10,hatchery,YES,-31.93445,148.14009,17
GOP436,196,0.0008,0.0182,0.0022,0,0.9777,0.0005,0.0007,0.237258953,1.024088378,1.054083222,-0.046512954,0.637085595,MACQUARIE,F,297,6/6/2018,3,hatchery,YES,-31.73379,147.96594,19
GOP462,222,0,0.0741,0.0015,0.0002,0.9241,0,0.0002,0.226818339,0.978837357,1.007812251,-0.001548308,0.657883841,MACQUARIE,F,318,6/6/2018,3,hatchery,YES,-31.93445,148.14009,19
GOP432,192,0.001,0.0825,0.0028,0.001,0.9107,0.001,0.001,0.224595246,0.968358713,0.99753982,-0.008975683,0.651516317,MACQUARIE,NA,326,7/6/2018,3,hatchery,YES,-31.65562,147.80093,19
GOP454,214,0.0033,0.001,0.001,0.0018,0.9837,0.0077,0.0015,0.233207027,1.005349194,1.035411231,-0.049097321,0.629214657,MACQUARIE,F,345,6/6/2018,4,hatchery,YES,-31.93445,148.14009,20
GOP469,229,0.0023,0,0.0007,0.001,0.9937,0.0013,0.001,0.214704867,0.925988802,0.953324774,0.039960277,0.664678393,MACQUARIE,F,320,6/6/2018,4,hatchery,YES,-31.93445,148.14009,20
GOP480,240,0.407,0.0113,0.5287,0.0025,0.02,0.0292,0.0013,0.224250775,0.966984073,0.995902231,0.001386664,0.651872912,MURRAY-mid,F,476,16/5/2018,12,murrumbidgee,NO,-35.90646,144.41703,21
GOP531,290,0.9478,0.0218,0.002,0.0047,0.0062,0.0085,0.009,0.216132368,0.932186584,0.960107564,0.020296035,0.664957059,MURRAY-dsYarrawonga,NA,460,16/6/2018,8,edward-wakool,NO,-36.006414,145.972408,22
GOP791,541,0.7078,0.001,0.0012,0.0015,0.284,0.0017,0.0028,0.249040307,1.044105759,1.075800878,-0.073857343,0.616924661,MURRAY-Barmah,NA,NA,2018,16,hatchery,stocked,-35.83489,145.0525,23
GOP438,198,0.9885,0.0022,0.001,0.0017,0.001,0.0047,0.001,0.222068966,0.958675174,0.987117207,0.008437852,0.659042201,MACQUARIE,M,413,4/6/2018,4,border,NO,-32.22741,148.2616,24
GOP337,101,0.9938,0.001,0.001,0.001,0.0012,0.001,0.001,0.230265426,0.993270731,1.023200557,-0.019377669,0.643783996,LODDON_PYRAMID,NA,373,17/4/2018,4,hatchery,YES,-35.74783,143.99156,24
GOP381,142,0.5381,0.0028,0.3287,0.0032,0.001,0.0078,0.1184,0.216477077,0.933014392,0.961014037,0.02675755,0.659990009,CAMPASPE,NA,390,9/5/2018,3,hatchery,YES,-36.56285,144.58766,25
GOP786,537,0.5617,0.0324,0.28,0.0028,0.0013,0.0142,0.1076,0.303126416,1.296335386,1.336917404,-0.294665901,0.523763972,OVENS,NA,NA,NA,3,NA,,-36.1829,146.23883,25
GOP383,144,0.005,0.0042,0.001,0.0022,0.9835,0.0013,0.0028,0.227256511,0.972873016,1.001871234,-0.008697234,0.653940153,CAMPASPE,NA,212,10/5/2018,1,hatchery,YES,-36.14625817,144.7373858,26
GOP621,377,0.903,0.0636,0.001,0.0035,0.0073,0.0162,0.0053,0.218728404,0.94218356,0.970707653,0.027648354,0.665273129,GOULBURN,NA,171,30/4/2018,2,hatchery,YES,-36.69945,145.18156,27
GOP364,128,0.4277,0.4899,0.0005,0.001,0.057,0.0215,0.0023,0.229536747,0.992432491,1.021247638,-0.01893046,0.644717104,CAMPASPE,NA,405,10/5/2018,5,hatchery,YES,-36.699744,144.5256643,28
GOP378,139,0.4457,0.5067,0.0018,0.0012,0.0207,0.0193,0.0047,0.228101378,0.972668618,1.002599481,-0.007313444,0.649324418,CAMPASPE,NA,428,9/5/2018,5,hatchery,YES,-36.56285,144.58766,28
GOP379,140,0.4582,0.4777,0.0015,0.0013,0.032,0.0267,0.0027,0.227398206,0.979926174,1.009262091,-0.004449168,0.655155821,CAMPASPE,NA,440,9/5/2018,5,hatchery,YES,-36.56285,144.58766,28
GOP385,146,0.4315,0.4085,0.001,0.001,0.1343,0.022,0.0017,0.232501733,1.003477193,1.033993272,-0.03231506,0.642402581,CAMPASPE,NA,420,10/5/2018,4,hatchery,YES,-36.62228169,144.5614071,28
GOP377,138,0.9133,0.001,0.0673,0.001,0.0017,0.008,0.0077,0.231082918,0.983884909,1.015159467,-0.014340776,0.642576714,CAMPASPE,NA,471,9/5/2018,6,hatchery,YES,-36.49706638,144.6119579,29
GOP521,280,0.7991,0.0025,0.1891,0.0008,0.0017,0.0018,0.005,0.235172414,1.014311422,1.044717086,-0.042452625,0.634372636,MURRAY-dsYarrawonga,NA,452,16/6/2018,7,hatchery,YES,-36.006414,145.972408,29
