"","BROKEN","CAMPASPE","DUMARESQ","EDWARD-WAKOOL","GINGHAM","GOULBURN","GUNBOWER","GWYDIR","L_MURRAY","LODDON_PYRAMID","LOWER_DARLING","MACINTYRE","MACQUARIE","MULLAROO_LINDSAY","MURRAY-Barmah","MURRAY-dsYarrawonga","MURRAY-mid","MURRUMBIDGEE","SEVERN","UPPER_DARLING","WIMMERA"
"X106.10..",0,0.0811,0,0,0.04,0.0333,0.1,0,0.05,0.0741,0.0333,0,0.025,0,0,0.037,0.0147,0.0256,0,0.0667,0.0952
"X896.8..",0.5217,0.5135,0.6316,0.7273,0.56,0.3667,0.35,0.5,0.45,0.3704,0.5333,0.5,0.425,0.6154,0.8,0.3846,0.4853,0.5897,0.6364,0.5333,0.2609
"X1075.34..",0.4,0.4857,0.6111,0,0.64,0.5862,0.35,0.3636,0.5,0.4815,0.3667,0.2778,0.475,0.3846,0.5,0.3704,0.3676,0.6053,0.5455,0.3333,0.5
"X1612.20..",0.2,0.1351,0.0526,0,0.1667,0.1,0.1,0.3636,0.15,0.1852,0.1,0.15,0.225,0,0,0.1481,0.0882,0.1081,0.2727,0.0667,0.2609
"X2186.31..",0.087,0.0345,0.1053,0.1111,0.1667,0.08,0.0625,0.0909,0,0,0.0667,0.1,0.125,0,0,0.037,0.0308,0,0,0.1071,0.0526
"X2344.42..",0,0.1351,0.0526,0,0.24,0.1,0,0.0455,0.1,0.1111,0.2,0.1,0,0.0714,0,0.037,0.0588,0.0256,0.3636,0.0333,0.3043
"X2525.45..",0,0.0541,0,0,0,0.069,0,0,0,0,0.0333,0,0,0,0,0,0.0147,0.0513,0.0909,0.0667,0
"X2923.45..",0.4583,0.3889,0.4737,0.5,0.5909,0.5417,0.4375,0.4091,0.6,0.4286,0.5333,0.55,0.475,0.5,0.4,0.4615,0.4355,0.5143,0.4,0.6552,0.5
"X3095.39..",0.087,0.1176,0,0,0.0417,0.0417,0.125,0,0.05,0.04,0.0333,0,0.075,0,0.2,0.0385,0.0484,0.0556,0,0.1034,0
"X3169.33..",0.16,0.2162,0.4211,0.3636,0.48,0.3,0.35,0.3636,0.35,0.2593,0.4333,0.2,0.5,0.2143,0.3333,0.2593,0.2647,0.2051,0.0909,0.3,0.1739
