"","BROKEN","CAMPASPE","DUMARESQ","EDWARD-WAKOOL","GINGHAM","GOULBURN","GUNBOWER","GWYDIR","L_MURRAY","LODDON_PYRAMID","LOWER_DARLING","MACINTYRE","MACQUARIE","MULLAROO_LINDSAY","MURRAY-Barmah","MURRAY-dsYarrawonga","MURRAY-mid","MURRUMBIDGEE","SEVERN","UPPER_DARLING","WIMMERA"
"X106.10..",0,0.0788,0,0,0.1167,0.0333,0.0974,0,0.05,0.0726,0.0333,0,0.025,0,0,0.037,0.0147,0.0256,0,0.0655,0.0929
"X896.8..",0.4862,0.4527,0.5088,0.5091,0.4883,0.5103,0.4526,0.4848,0.4816,0.3519,0.4506,0.4289,0.4917,0.4872,0.5,0.4631,0.4642,0.4933,0.5182,0.5057,0.4921
"X1075.34..",0.4117,0.4807,0.4967,0.5455,0.4867,0.5049,0.5053,0.4459,0.5079,0.5071,0.5103,0.5196,0.4808,0.5256,0.5333,0.5114,0.4993,0.4964,0.4091,0.5023,0.5108
"X1612.20..",0.2467,0.1276,0.0526,0,0.1558,0.0966,0.0974,0.303,0.2263,0.1709,0.0966,0.1421,0.2019,0,0,0.1396,0.0849,0.1036,0.2455,0.0655,0.2312
"X2186.31..",0.085,0.0345,0.1959,0.1111,0.1558,0.0783,0.0625,0.0887,0,0,0.0655,0.0974,0.1186,0,0,0.037,0.0305,0,0,0.1032,0.152
"X2344.42..",0,0.1276,0.0526,0,0.275,0.0966,0,0.0455,0.0974,0.1068,0.2356,0.0974,0,0.0714,0,0.037,0.0575,0.0256,0.3091,0.0333,0.2628
"X2525.45..",0,0.0533,0,0,0,0.0677,0,0,0,0,0.0333,0,0,0,0,0,0.0147,0.0506,0.0909,0.0655,0
"X2923.45..",0.5036,0.5024,0.4912,0.5833,0.5,0.4656,0.5167,0.487,0.4632,0.4714,0.4713,0.5105,0.4346,0.5227,0.55,0.5108,0.4939,0.4866,0.5333,0.4667,0.4417
"X3095.39..",0.085,0.1123,0,0,0.0417,0.0417,0.1208,0,0.05,0.1167,0.0333,0,0.0731,0,0.2,0.0385,0.0476,0.0548,0,0.0998,0
"X3169.33..",0.15,0.2372,0.3392,0.4182,0.37,0.2586,0.3579,0.303,0.3579,0.2835,0.4126,0.3316,0.3782,0.1978,0.3,0.4117,0.2311,0.1862,0.0909,0.2586,0.1621
"X3240.38..",0.37,0.2928,0.3713,0.4455,0.185,0.3828,0.2263,0.2833,0.2658,0.4231,0.2586,0.3579,0.4519,0.478,0.3,0.3732,0.3626,0.3138,0.4182,0.2356,0.3715
"X4813.22..",0.5083,0.455,0.5117,0.5273,0.4656,0.508,0.5053,0.513,0.5053,0.51,0.508,0.3316,0.4859,0.4615,0.5333,0.4544,0.4886,0.5057,0.3727,0.5034,0.5152
"X4925.29..",0,0.0548,0,0,0.0435,0.0998,0,0,0.05,0.037,0.0333,0,0,0,0,0.037,0.0149,0.0519,0.0909,0,0
"X5090.6..",0.3715,0.3067,0.3713,0.2619,0.3822,0.1902,0.3583,0.2403,0.3263,0.3017,0.3241,0.3743,0.2756,0.3022,0.2,0.4477,0.2514,0.2745,0.4,0.2414,0.3421
"X5792.61..",0.1833,0.1952,0.2719,0.1727,0.1833,0.2586,0.2974,0.2056,0.05,0.3077,0.1828,0.0974,0.1615,0.2527,0.1667,0.3077,0.2627,0.1862,0.1727,0.2598,0.085
"X7332.9..",0.2536,0.3588,0.4737,0.3333,0.2733,0.3707,0.3743,0.4437,0.4789,0.4387,0.346,0.4684,0.4141,0.4872,0.2,0.3533,0.3817,0.3574,0.4182,0.3719,0.2947
"X7564.34..",0.5087,0.4378,0.307,0.5222,0.4275,0.3989,0.4526,0.487,0.4342,0.3953,0.4929,0.4338,0.5047,0.3205,0.5,0.415,0.2762,0.5008,0.4778,0.4683,0.502
"X8825.29..",0.4533,0.4381,0.4912,0.4727,0.4728,0.4368,0.4842,0.4935,0.4974,0.4601,0.4885,0.4181,0.4231,0.4835,0.4,0.4858,0.4737,0.4757,0.5,0.4931,0.4881
"X9396.35..",0.5059,0.4545,0.307,0.4821,0.3458,0.4516,0.5065,0.4935,0.4526,0.4967,0.4414,0.5132,0.4987,0.5165,0.5,0.4667,0.4813,0.4685,0.5222,0.414,0.5079
"X9536.37..",0.1196,0.1952,0.1023,0,0,0.1264,0.1421,0,0.05,0.037,0.1276,0.0974,0.0962,0.1374,0,0.0726,0.0435,0.0749,0.1727,0.0655,0.0455
"X10168.31..",0.4117,0.4122,0.3684,0.2455,0.37,0.4253,0.3579,0.4026,0.4105,0.3732,0.2356,0.3684,0.4526,0.3901,0,0.4658,0.3464,0.4047,0.3727,0.3264,0.2945
"X10432.39..",0,0,0.1023,0.1727,0.15,0,0.05,0.1299,0,0.037,0.0977,0.05,0.1404,0,0,0.1068,0.0292,0.0749,0,0.0655,0.0435
"X11015.24..",0.215,0.1734,0.1023,0.3182,0.1245,0.2356,0.2237,0.1299,0.1842,0.2077,0.0333,0.05,0.0731,0.1374,0.4333,0.1396,0.1522,0.1869,0.0909,0.2167,0.2628
"X11161.8..",0.4717,0.455,0.424,0.5182,0.4976,0.4828,0.4316,0.4684,0.4658,0.3519,0.5,0.4825,0.3929,0.522,0.45,0.4416,0.4559,0.4617,0.4818,0.5091,0.4625
"X12042.65..",0,0.027,0.0526,0.0909,0.0435,0.0333,0,0.0455,0.0974,0.037,0.0966,0,0.025,0,0,0.037,0.0147,0.0263,0,0,0.085
"X12361.64..",0,0,0,0.0909,0,0,0,0,0,0.037,0.0333,0,0.025,0.0714,0,0.037,0.0147,0.0256,0,0.0966,0
"X12625.18..",0.4674,0.506,0.5088,0.5182,0.5033,0.508,0.5053,0.5087,0.4816,0.4729,0.5069,0.4947,0.5032,0.5165,0.5,0.5071,0.4879,0.4845,0.5091,0.5069,0.4644
"X12837.31..",0.4946,0.5075,0.4561,0.4909,0.4867,0.4874,0.5105,0.5024,0.5105,0.5057,0.4885,0.4971,0.4987,0.5165,0.5,0.5071,0.4824,0.4987,0.5,0.5013,0.502
"X14574.68..",0.2167,0.1959,0.1491,0.0909,0.0887,0.1828,0.0974,0.1959,0,0.2835,0.0333,0.1023,0.1862,0.2527,0,0.2293,0.1245,0.1472,0.4,0.1305,0.1265
"X14894.54..",0.15,0.3866,0.3947,0.4091,0.4605,0.2828,0.3868,0.2403,0.4921,0.2023,0.3437,0.3605,0.3231,0.4231,0.3,0.3903,0.3705,0.3929,0.3182,0.4874,0.2312
